Category,Name,Description,File Name,image url
clothing,Adidas 1/4 Zip,"Adidas Golf designs award-winning products across apparel, footwear and accessories for every golfer. Innovation is at the heart of everything do. No detail is spared, no scenario overlooked. We're always working to create the best in golf. It's our passion. We make sure all golfers are geared for more.",Adidas 14 Zip.jpg,https://images-na.ssl-images-amazon.com/images/I/71b1QkReBrL._AC_UX569_.jpg
clothing,Adidas 365 BOS Short,"Get first-class in performance and comfort wearing the adidas Men’s Ultimate365 Golf Shorts. Using moisture-wicking stretch fabric and a stretch waistband, these shorts improve your range of motion to allow you to play with a relaxed fit. The silicone adidas® printed gripper helps keep your shirts tucked in, and multiple pockets provide you with plenty of storage space.

Technology
Moisture-wicking fabric transfers sweat away from skin to keep you cool and dry
Design Details
Performance stretch
Zip fly with button closure
Front pockets
Back pockets
Stretch waistband for mobility and comfort
Silicone adidas® printed gripper to keep shirts tucked in
Water resistant finish for easy care and durability
Inseam: 10”
Brand : adidas
Country of Origin : Imported
Fabric : 88% Polyester / 12% Elastane
Web ID: 15ADDMLTMTSHRTSTNAPB",Adidas 365 BOS Short.jpg,https://dks.scene7.com/is/image/GolfGalaxy/15ADDMLTMTSHRTSTNAPB_Glory_Blue?wid=1400&fmt=jpg
clothing,Adidas 365 Short,"Adidas golf designs award-winning products across apparel, footwear and accessories for every golfer. Innovation is at the heart of everything we do. No detail is spared, no scenario overlooked. We're always working to create the best in golf. It's our passion. We make sure all golfers are geared for more.",Adidas 365 Short.jpg,https://images-na.ssl-images-amazon.com/images/I/71T59gSv5ZL._AC_UX569_.jpg
clothing,Adidas Code Chaos Shoes,"Separate yourself from the pack in the adidas Men’s CODECHAOS Golf Shoes. Featuring a BOOST™ foam midsole, these shoes provide you with long-lasting cushioning and extreme comfort. The waterproof protection offers you improved durability, while the CHAOS Traction outsole with TwistGrip technology gives you incredible stability, grip and performance.

Breathable, Waterproof Upper w/ RAIN.RDY Technology
Provides breathable protection against wind and rain to keep you dry and comfortable in all conditions
Full-Length BOOST™ Midsole w/ Torsion-X Stability Bar
Provides endless energy return for maximum comfort
CHAOS Traction Spikeless Outsole
Features TwistGrip technology for unmatched stability and traction on any terrain
fitfoam® Cushioning
Engineered to evenly distribute weight and pressure while providing optimal cushioning and long-lasting comfort
INSITE@reg; Sockliner
Provides enhanced fit and balance
Manufacturer’s Warranty
2-year waterproof
Brand : adidas
Country of Origin : Imported
Web ID: 19ADIMCDCHSWHTSGNGSH",Adidas Code Chaos Shoes.jpg,https://dks.scene7.com/is/image/GolfGalaxy/19ADIMCDCHSWHTSGNGSH_Grey_Signal_Green?wid=1400&fmt=jpg
clothing,Adidas Dress FP6806/FK0530,"The soft, stretchy material of the adidas® Women’s Jacquard Golf Dress will keep you cool and comfortable all day. The included built-in shorts provides additional coverage to ensure confidence whether you’re swinging off the tee or running errands around town.

Technology:
UPF 50+ sun-blocking fabric to protect your skin from sunburn
Design Details:
½-zip, collarless design to accentuate the neck and collarbone
Stretchy jacquard fabric for comfort and performance
Built-in shorts provides additional coverage
Front pockets that add versatility and convenience
adidas® logo just above lower right hem
Style: FK0530, FP6806
Brand : adidas
Country of Origin : Imported
Fabric : 83% Polyester / 17% Elastane
Web ID: 19ADIWSSJCQDRSSBLAPT",Adidas Dress FP6806/FK0530,https://dks.scene7.com/is/image/GolfGalaxy/19ADIWSSJCQDRSSBLAPT_Tech_Indigo?wid=1400&fmt=jpg
clothing,Adidas Full Zip,"Cool weather is no reason to stay inside with the adidas® Women’s Full-Zip Golf Jacket. The full-zip construction with back pleats provide unrestricted movement with every swing. The PFC-free, water-repellant finish will keep you warm and dry all day.

Technology:
UPF 50+ fabric to protect you from sunburn
PFC-free water-repellant to keep you warm and dry
Design Details:
Back pleats for a clean look and unrestricted movement
Full-zip design to create a customized fit
adidas® logo on front right pocket
Kangaroo pockets to provide ample storage
Style: FJ4911, FI9503
Brand : adidas
Country of Origin : Imported
Fabric : 100% Polyamide
Web ID: 19ADIWLSFZJCKTBLKAPO",Adidas Full Zip.jpg,https://dks.scene7.com/is/image/GolfGalaxy/19ADIWLSFZJCKTBLKAPO_White?wid=1400&fmt=jpg
clothing,Adidas Full Zip FJ4918,Work on your game as the temperature drops. This men's hoodie is made of a comfortable soft cotton blend and cut for a slim fit. A full zip with drawcord-adjustable hood provides customizable coverage.,Adidas Full Zip FJ4918.jpg,https://images-na.ssl-images-amazon.com/images/I/81qriCqI2sL._AC_UX569_.jpg
clothing,Adidas Full Zip FP6804,"This men's hoodie is made of a soft cotton blend to keep you comfortable. The full zip allows for easy on and off, while the ribbed cuffs and hem keep the fit snug. It features signature 3-Stripes on the arms.",Adidas Full Zip FP6804.jpg,https://images-na.ssl-images-amazon.com/images/I/91ZWbUK6uqL._AC_UX342_.jpg
clothing,Adidas Full Zip Jacket FK0638,Reversible full zip jacket with two front pockets for added warmth on the course.,Adidas Full Zip Jacket FK0638.jpg,https://www.expressgolf.co.uk/wp-content/uploads/2020/03/FK0638_APP_virtual_standard_white.png
clothing,Adidas Half Zip FJ4929,Stretch blend affords unrestricted movement for a natural swing.,Adidas Half Zip FJ4929.jpg,"https://assets.adidas.com/images/w_840,h_840,f_auto,q_auto:sensitive,fl_lossy/ce830909c0634889b10eaae2010617fc_9366/Primeknit_Layer_Sweatshirt_Black_FJ4929_21_model.jpg"
